"Notes"	"County"	"County Code"	"Sex"	"Sex Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Clarke County, AL"	"01025"	"Female"	"F"	"85+ years"	"85+"	28	1691	1655.8
	"Clarke County, AL"	"01025"	"Male"	"M"	"65-74 years"	"65-74"	11	4770	Unreliable
	"Clarke County, AL"	"01025"	"Male"	"M"	"75-84 years"	"75-84"	13	2262	Unreliable
	"Clarke County, AL"	"01025"	"Male"	"M"	"85+ years"	"85+"	10	704	Unreliable
	"Clay County, AL"	"01027"	"Female"	"F"	"85+ years"	"85+"	16	1128	Unreliable
	"Cleburne County, AL"	"01029"	"Female"	"F"	"75-84 years"	"75-84"	10	1909	Unreliable
	"Coffee County, AL"	"01031"	"Female"	"F"	"35-44 years"	"35-44"	0	16051	Unreliable
	"Coffee County, AL"	"01031"	"Female"	"F"	"65-74 years"	"65-74"	15	9679	Unreliable
	"Coffee County, AL"	"01031"	"Female"	"F"	"75-84 years"	"75-84"	22	6673	329.7
	"Coffee County, AL"	"01031"	"Female"	"F"	"85+ years"	"85+"	43	2588	1661.5
	"Coffee County, AL"	"01031"	"Male"	"M"	"65-74 years"	"65-74"	12	8308	Unreliable
	"Coffee County, AL"	"01031"	"Male"	"M"	"75-84 years"	"75-84"	17	4229	Unreliable
	"Coffee County, AL"	"01031"	"Male"	"M"	"85+ years"	"85+"	18	986	Unreliable
	"Colbert County, AL"	"01033"	"Female"	"F"	"65-74 years"	"65-74"	19	12558	Unreliable
	"Colbert County, AL"	"01033"	"Female"	"F"	"75-84 years"	"75-84"	33	9484	348.0
	"Colbert County, AL"	"01033"	"Female"	"F"	"85+ years"	"85+"	69	3301	2090.3
	"Colbert County, AL"	"01033"	"Male"	"M"	"45-54 years"	"45-54"	10	19297	Unreliable
	"Colbert County, AL"	"01033"	"Male"	"M"	"65-74 years"	"65-74"	12	10586	Unreliable
	"Colbert County, AL"	"01033"	"Male"	"M"	"75-84 years"	"75-84"	26	5944	437.4
	"Colbert County, AL"	"01033"	"Male"	"M"	"85+ years"	"85+"	22	1461	1505.8
	"Conecuh County, AL"	"01035"	"Female"	"F"	"75-84 years"	"75-84"	13	2393	Unreliable
	"Conecuh County, AL"	"01035"	"Female"	"F"	"85+ years"	"85+"	17	891	Unreliable
	"Coosa County, AL"	"01037"	"Female"	"F"	"35-44 years"	"35-44"	0	4241	Unreliable
	"Coosa County, AL"	"01037"	"Male"	"M"	"35-44 years"	"35-44"	0	4469	Unreliable
	"Covington County, AL"	"01039"	"Female"	"F"	"35-44 years"	"35-44"	0	12877	Unreliable
	"Covington County, AL"	"01039"	"Female"	"F"	"65-74 years"	"65-74"	17	9499	Unreliable
	"Covington County, AL"	"01039"	"Female"	"F"	"75-84 years"	"75-84"	42	7236	580.4
	"Covington County, AL"	"01039"	"Female"	"F"	"85+ years"	"85+"	46	3238	1420.6
	"Covington County, AL"	"01039"	"Male"	"M"	"65-74 years"	"65-74"	14	7925	Unreliable
	"Covington County, AL"	"01039"	"Male"	"M"	"75-84 years"	"75-84"	22	4382	502.1
	"Covington County, AL"	"01039"	"Male"	"M"	"85+ years"	"85+"	22	1082	2033.3
	"Crenshaw County, AL"	"01041"	"Female"	"F"	"55-64 years"	"55-64"	0	3970	Unreliable
	"Crenshaw County, AL"	"01041"	"Female"	"F"	"75-84 years"	"75-84"	11	2656	Unreliable
	"Crenshaw County, AL"	"01041"	"Female"	"F"	"85+ years"	"85+"	18	1116	Unreliable
	"Crenshaw County, AL"	"01041"	"Male"	"M"	"35-44 years"	"35-44"	0	4540	Unreliable
	"Cullman County, AL"	"01043"	"Female"	"F"	"65-74 years"	"65-74"	25	17041	146.7
	"Cullman County, AL"	"01043"	"Female"	"F"	"75-84 years"	"75-84"	77	12002	641.6
	"Cullman County, AL"	"01043"	"Female"	"F"	"85+ years"	"85+"	74	4308	1717.7
	"Cullman County, AL"	"01043"	"Male"	"M"	"55-64 years"	"55-64"	17	21390	Unreliable
	"Cullman County, AL"	"01043"	"Male"	"M"	"65-74 years"	"65-74"	30	14299	209.8
	"Cullman County, AL"	"01043"	"Male"	"M"	"75-84 years"	"75-84"	31	7893	392.8
	"Cullman County, AL"	"01043"	"Male"	"M"	"85+ years"	"85+"	29	1771	1637.5
	"Dale County, AL"	"01045"	"Female"	"F"	"75-84 years"	"75-84"	28	5962	469.6
	"Dale County, AL"	"01045"	"Female"	"F"	"85+ years"	"85+"	27	2305	1171.4
	"Dale County, AL"	"01045"	"Male"	"M"	"65-74 years"	"65-74"	15	8378	Unreliable
	"Dale County, AL"	"01045"	"Male"	"M"	"75-84 years"	"75-84"	17	4018	Unreliable
	"Dallas County, AL"	"01047"	"Female"	"F"	"55-64 years"	"55-64"	11	12181	Unreliable
	"Dallas County, AL"	"01047"	"Female"	"F"	"65-74 years"	"65-74"	16	9687	Unreliable
	"Dallas County, AL"	"01047"	"Female"	"F"	"75-84 years"	"75-84"	35	6636	527.4
	"Dallas County, AL"	"01047"	"Female"	"F"	"85+ years"	"85+"	47	2742	1714.1
	"Dallas County, AL"	"01047"	"Male"	"M"	"45-54 years"	"45-54"	10	14715	Unreliable
	"Dallas County, AL"	"01047"	"Male"	"M"	"55-64 years"	"55-64"	13	10325	Unreliable
	"Dallas County, AL"	"01047"	"Male"	"M"	"65-74 years"	"65-74"	17	7077	Unreliable
	"Dallas County, AL"	"01047"	"Male"	"M"	"75-84 years"	"75-84"	19	3790	Unreliable
	"Dallas County, AL"	"01047"	"Male"	"M"	"85+ years"	"85+"	10	944	Unreliable
	"DeKalb County, AL"	"01049"	"Female"	"F"	"65-74 years"	"65-74"	20	13890	144.0
	"DeKalb County, AL"	"01049"	"Female"	"F"	"75-84 years"	"75-84"	37	9194	402.4
	"DeKalb County, AL"	"01049"	"Female"	"F"	"85+ years"	"85+"	50	3855	1297.0
	"DeKalb County, AL"	"01049"	"Male"	"M"	"55-64 years"	"55-64"	13	17018	Unreliable
	"DeKalb County, AL"	"01049"	"Male"	"M"	"65-74 years"	"65-74"	19	11545	Unreliable
	"DeKalb County, AL"	"01049"	"Male"	"M"	"75-84 years"	"75-84"	21	5576	376.6
	"DeKalb County, AL"	"01049"	"Male"	"M"	"85+ years"	"85+"	13	1369	Unreliable
	"Elmore County, AL"	"01051"	"Female"	"F"	"55-64 years"	"55-64"	10	17480	Unreliable
	"Elmore County, AL"	"01051"	"Female"	"F"	"65-74 years"	"65-74"	14	11211	Unreliable
	"Elmore County, AL"	"01051"	"Female"	"F"	"75-84 years"	"75-84"	26	7331	354.7
	"Elmore County, AL"	"01051"	"Female"	"F"	"85+ years"	"85+"	40	3173	1260.6
	"Elmore County, AL"	"01051"	"Male"	"M"	"55-64 years"	"55-64"	11	17476	Unreliable
	"Elmore County, AL"	"01051"	"Male"	"M"	"65-74 years"	"65-74"	14	10359	Unreliable
	"Elmore County, AL"	"01051"	"Male"	"M"	"75-84 years"	"75-84"	16	4965	Unreliable
	"Elmore County, AL"	"01051"	"Male"	"M"	"85+ years"	"85+"	18	1033	Unreliable
	"Escambia County, AL"	"01053"	"Female"	"F"	"35-44 years"	"35-44"	0	12537	Unreliable
	"Escambia County, AL"	"01053"	"Female"	"F"	"65-74 years"	"65-74"	10	7920	Unreliable
	"Escambia County, AL"	"01053"	"Female"	"F"	"75-84 years"	"75-84"	24	5565	431.3
	"Escambia County, AL"	"01053"	"Female"	"F"	"85+ years"	"85+"	28	2228	1256.7
	"Escambia County, AL"	"01053"	"Male"	"M"	"55-64 years"	"55-64"	14	10059	Unreliable
	"Escambia County, AL"	"01053"	"Male"	"M"	"65-74 years"	"65-74"	11	6675	Unreliable
	"Escambia County, AL"	"01053"	"Male"	"M"	"75-84 years"	"75-84"	26	3241	802.2
	"Etowah County, AL"	"01055"	"Female"	"F"	"55-64 years"	"55-64"	10	30146	Unreliable
	"Etowah County, AL"	"01055"	"Female"	"F"	"65-74 years"	"65-74"	37	23914	154.7
	"Etowah County, AL"	"01055"	"Female"	"F"	"75-84 years"	"75-84"	82	18538	442.3
	"Etowah County, AL"	"01055"	"Female"	"F"	"85+ years"	"85+"	101	6458	1564.0
	"Etowah County, AL"	"01055"	"Male"	"M"	"45-54 years"	"45-54"	14	36325	Unreliable
	"Etowah County, AL"	"01055"	"Male"	"M"	"55-64 years"	"55-64"	14	27562	Unreliable
	"Etowah County, AL"	"01055"	"Male"	"M"	"65-74 years"	"65-74"	31	18639	166.3
	"Etowah County, AL"	"01055"	"Male"	"M"	"75-84 years"	"75-84"	76	11151	681.6
	"Etowah County, AL"	"01055"	"Male"	"M"	"85+ years"	"85+"	27	2457	1098.9
	"Fayette County, AL"	"01057"	"Female"	"F"	"65-74 years"	"65-74"	10	4354	Unreliable
	"Fayette County, AL"	"01057"	"Female"	"F"	"85+ years"	"85+"	33	1498	2202.9
	"Fayette County, AL"	"01057"	"Male"	"M"	"35-44 years"	"35-44"	0	6038	Unreliable
	"Fayette County, AL"	"01057"	"Male"	"M"	"45-54 years"	"45-54"	0	6460	Unreliable
	"Fayette County, AL"	"01057"	"Male"	"M"	"75-84 years"	"75-84"	17	1912	Unreliable
	"Franklin County, AL"	"01059"	"Female"	"F"	"65-74 years"	"65-74"	15	7219	Unreliable
	"Franklin County, AL"	"01059"	"Female"	"F"	"75-84 years"	"75-84"	26	4837	537.5
	"Franklin County, AL"	"01059"	"Female"	"F"	"85+ years"	"85+"	49	1832	2674.7
	"Franklin County, AL"	"01059"	"Male"	"M"	"35-44 years"	"35-44"	0	10967	Unreliable
	"Franklin County, AL"	"01059"	"Male"	"M"	"75-84 years"	"75-84"	13	3125	Unreliable
	"Franklin County, AL"	"01059"	"Male"	"M"	"85+ years"	"85+"	12	689	Unreliable
	"Geneva County, AL"	"01061"	"Female"	"F"	"75-84 years"	"75-84"	16	4453	Unreliable
	"Geneva County, AL"	"01061"	"Female"	"F"	"85+ years"	"85+"	32	2002	1598.4
	"Geneva County, AL"	"01061"	"Male"	"M"	"75-84 years"	"75-84"	20	2857	700.0
	"Geneva County, AL"	"01061"	"Male"	"M"	"85+ years"	"85+"	12	636	Unreliable
	"Greene County, AL"	"01063"	"Female"	"F"	"45-54 years"	"45-54"	0	4002	Unreliable
	"Greene County, AL"	"01063"	"Male"	"M"	"35-44 years"	"35-44"	0	2699	Unreliable
	"Greene County, AL"	"01063"	"Male"	"M"	"65-74 years"	"65-74"	0	1709	Unreliable
	"Hale County, AL"	"01065"	"Female"	"F"	"35-44 years"	"35-44"	0	6277	Unreliable
	"Hale County, AL"	"01065"	"Female"	"F"	"75-84 years"	"75-84"	13	2333	Unreliable
	"Hale County, AL"	"01065"	"Female"	"F"	"85+ years"	"85+"	17	1051	Unreliable
	"Henry County, AL"	"01067"	"Female"	"F"	"75-84 years"	"75-84"	16	2795	Unreliable
	"Henry County, AL"	"01067"	"Female"	"F"	"85+ years"	"85+"	34	1391	2444.3
	"Henry County, AL"	"01067"	"Male"	"M"	"75-84 years"	"75-84"	18	1834	Unreliable
	"Henry County, AL"	"01067"	"Male"	"M"	"85+ years"	"85+"	14	463	Unreliable
	"Houston County, AL"	"01069"	"Female"	"F"	"35-44 years"	"35-44"	0	35081	Unreliable
	"Houston County, AL"	"01069"	"Female"	"F"	"65-74 years"	"65-74"	18	18236	Unreliable
	"Houston County, AL"	"01069"	"Female"	"F"	"75-84 years"	"75-84"	52	12955	401.4
	"Houston County, AL"	"01069"	"Female"	"F"	"85+ years"	"85+"	67	5316	1260.3
	"Houston County, AL"	"01069"	"Male"	"M"	"65-74 years"	"65-74"	13	14945	Unreliable
	"Houston County, AL"	"01069"	"Male"	"M"	"75-84 years"	"75-84"	39	7631	511.1
	"Houston County, AL"	"01069"	"Male"	"M"	"85+ years"	"85+"	28	1996	1402.8
	"Jackson County, AL"	"01071"	"Female"	"F"	"65-74 years"	"65-74"	15	11858	Unreliable
	"Jackson County, AL"	"01071"	"Female"	"F"	"75-84 years"	"75-84"	46	7451	617.4
	"Jackson County, AL"	"01071"	"Female"	"F"	"85+ years"	"85+"	24	2720	882.4
	"Jackson County, AL"	"01071"	"Male"	"M"	"65-74 years"	"65-74"	14	10404	Unreliable
	"Jackson County, AL"	"01071"	"Male"	"M"	"75-84 years"	"75-84"	31	4703	659.2
	"Jackson County, AL"	"01071"	"Male"	"M"	"85+ years"	"85+"	17	1030	Unreliable
	"Jefferson County, AL"	"01073"	"Female"	"F"	"35-44 years"	"35-44"	29	249857	11.6
	"Jefferson County, AL"	"01073"	"Female"	"F"	"45-54 years"	"45-54"	68	255575	26.6
	"Jefferson County, AL"	"01073"	"Female"	"F"	"55-64 years"	"55-64"	102	166408	61.3
	"Jefferson County, AL"	"01073"	"Female"	"F"	"65-74 years"	"65-74"	196	126358	155.1
	"Jefferson County, AL"	"01073"	"Female"	"F"	"75-84 years"	"75-84"	562	101199	555.3
	"Jefferson County, AL"	"01073"	"Female"	"F"	"85+ years"	"85+"	820	40562	2021.6
	"Jefferson County, AL"	"01073"	"Male"	"M"	"35-44 years"	"35-44"	31	226991	13.7
	"Jefferson County, AL"	"01073"	"Male"	"M"	"45-54 years"	"45-54"	78	229036	34.1
	"Jefferson County, AL"	"01073"	"Male"	"M"	"55-64 years"	"55-64"	116	143270	81.0
	"Jefferson County, AL"	"01073"	"Male"	"M"	"65-74 years"	"65-74"	190	91065	208.6
	"Jefferson County, AL"	"01073"	"Male"	"M"	"75-84 years"	"75-84"	306	60779	503.5
	"Jefferson County, AL"	"01073"	"Male"	"M"	"85+ years"	"85+"	243	14843	1637.1
	"Lamar County, AL"	"01075"	"Female"	"F"	"75-84 years"	"75-84"	10	2730	Unreliable
	"Lamar County, AL"	"01075"	"Female"	"F"	"85+ years"	"85+"	19	1080	Unreliable
	"Lamar County, AL"	"01075"	"Male"	"M"	"35-44 years"	"35-44"	0	5308	Unreliable
	"Lamar County, AL"	"01075"	"Male"	"M"	"85+ years"	"85+"	10	460	Unreliable
	"Lauderdale County, AL"	"01077"	"Female"	"F"	"55-64 years"	"55-64"	11	26010	Unreliable
	"Lauderdale County, AL"	"01077"	"Female"	"F"	"65-74 years"	"65-74"	29	20059	144.6
	"Lauderdale County, AL"	"01077"	"Female"	"F"	"75-84 years"	"75-84"	69	14701	469.4
	"Lauderdale County, AL"	"01077"	"Female"	"F"	"85+ years"	"85+"	102	5682	1795.1
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"55-64 years"	"55-64"	11	23781	Unreliable
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"65-74 years"	"65-74"	18	16413	Unreliable
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"75-84 years"	"75-84"	47	9229	509.3
	"Lauderdale County, AL"	"01077"	"Male"	"M"	"85+ years"	"85+"	31	2219	1397.0
	"Lawrence County, AL"	"01079"	"Female"	"F"	"35-44 years"	"35-44"	0	13949	Unreliable
	"Lawrence County, AL"	"01079"	"Female"	"F"	"45-54 years"	"45-54"	0	12360	Unreliable
	"Lawrence County, AL"	"01079"	"Female"	"F"	"75-84 years"	"75-84"	32	4263	750.6
	"Lawrence County, AL"	"01079"	"Female"	"F"	"85+ years"	"85+"	26	1691	1537.6
	"Lawrence County, AL"	"01079"	"Male"	"M"	"35-44 years"	"35-44"	0	13371	Unreliable
	"Lawrence County, AL"	"01079"	"Male"	"M"	"65-74 years"	"65-74"	11	5922	Unreliable
	"Lawrence County, AL"	"01079"	"Male"	"M"	"75-84 years"	"75-84"	15	2685	Unreliable
	"Lawrence County, AL"	"01079"	"Male"	"M"	"85+ years"	"85+"	13	582	Unreliable
	"Lee County, AL"	"01081"	"Female"	"F"	"65-74 years"	"65-74"	25	15597	160.3
	"Lee County, AL"	"01081"	"Female"	"F"	"75-84 years"	"75-84"	58	10303	562.9
	"Lee County, AL"	"01081"	"Female"	"F"	"85+ years"	"85+"	68	3813	1783.4
	"Lee County, AL"	"01081"	"Male"	"M"	"45-54 years"	"45-54"	11	33988	Unreliable
	"Lee County, AL"	"01081"	"Male"	"M"	"55-64 years"	"55-64"	15	22471	Unreliable
	"Lee County, AL"	"01081"	"Male"	"M"	"65-74 years"	"65-74"	21	13194	159.2
	"Lee County, AL"	"01081"	"Male"	"M"	"75-84 years"	"75-84"	40	5853	683.4
	"Lee County, AL"	"01081"	"Male"	"M"	"85+ years"	"85+"	16	1413	Unreliable
	"Limestone County, AL"	"01083"	"Female"	"F"	"65-74 years"	"65-74"	12	12204	Unreliable
	"Limestone County, AL"	"01083"	"Female"	"F"	"75-84 years"	"75-84"	39	7791	500.6
	"Limestone County, AL"	"01083"	"Female"	"F"	"85+ years"	"85+"	66	2955	2233.5
	"Limestone County, AL"	"01083"	"Male"	"M"	"65-74 years"	"65-74"	13	10915	Unreliable
	"Limestone County, AL"	"01083"	"Male"	"M"	"75-84 years"	"75-84"	25	4933	506.8
	"Limestone County, AL"	"01083"	"Male"	"M"	"85+ years"	"85+"	19	991	Unreliable
	"Macon County, AL"	"01087"	"Female"	"F"	"65-74 years"	"65-74"	10	4465	Unreliable
	"Macon County, AL"	"01087"	"Female"	"F"	"75-84 years"	"75-84"	14	3693	Unreliable
	"Macon County, AL"	"01087"	"Female"	"F"	"85+ years"	"85+"	12	1325	Unreliable
	"Macon County, AL"	"01087"	"Male"	"M"	"75-84 years"	"75-84"	11	2288	Unreliable
	"Madison County, AL"	"01089"	"Female"	"F"	"45-54 years"	"45-54"	12	106948	Unreliable
	"Madison County, AL"	"01089"	"Female"	"F"	"55-64 years"	"55-64"	22	74818	29.4
	"Madison County, AL"	"01089"	"Female"	"F"	"65-74 years"	"65-74"	58	52263	111.0
	"Madison County, AL"	"01089"	"Female"	"F"	"75-84 years"	"75-84"	156	31475	495.6
	"Madison County, AL"	"01089"	"Female"	"F"	"85+ years"	"85+"	176	10998	1600.3
	"Madison County, AL"	"01089"	"Male"	"M"	"45-54 years"	"45-54"	22	103357	21.3
	"Madison County, AL"	"01089"	"Male"	"M"	"55-64 years"	"55-64"	29	68348	42.4
	"Madison County, AL"	"01089"	"Male"	"M"	"65-74 years"	"65-74"	56	44510	125.8
	"Madison County, AL"	"01089"	"Male"	"M"	"75-84 years"	"75-84"	98	21144	463.5
	"Madison County, AL"	"01089"	"Male"	"M"	"85+ years"	"85+"	50	4448	1124.1
	"Marengo County, AL"	"01091"	"Female"	"F"	"65-74 years"	"65-74"	11	4897	Unreliable
	"Marengo County, AL"	"01091"	"Female"	"F"	"75-84 years"	"75-84"	17	3509	Unreliable
	"Marengo County, AL"	"01091"	"Female"	"F"	"85+ years"	"85+"	33	1570	2101.9
	"Marengo County, AL"	"01091"	"Male"	"M"	"35-44 years"	"35-44"	0	6754	Unreliable
	"Marion County, AL"	"01093"	"Female"	"F"	"75-84 years"	"75-84"	22	5308	414.5
	"Marion County, AL"	"01093"	"Female"	"F"	"85+ years"	"85+"	35	2322	1507.3
	"Marion County, AL"	"01093"	"Male"	"M"	"65-74 years"	"65-74"	10	6252	Unreliable
	"Marion County, AL"	"01093"	"Male"	"M"	"75-84 years"	"75-84"	17	3328	Unreliable
	"Marion County, AL"	"01093"	"Male"	"M"	"85+ years"	"85+"	11	900	Unreliable
	"Marshall County, AL"	"01095"	"Female"	"F"	"65-74 years"	"65-74"	26	18335	141.8
	"Marshall County, AL"	"01095"	"Female"	"F"	"75-84 years"	"75-84"	78	12282	635.1
	"Marshall County, AL"	"01095"	"Female"	"F"	"85+ years"	"85+"	90	4632	1943.0
	"Marshall County, AL"	"01095"	"Male"	"M"	"35-44 years"	"35-44"	0	30926	Unreliable
	"Marshall County, AL"	"01095"	"Male"	"M"	"65-74 years"	"65-74"	31	15276	202.9
	"Marshall County, AL"	"01095"	"Male"	"M"	"75-84 years"	"75-84"	41	7556	542.6
	"Marshall County, AL"	"01095"	"Male"	"M"	"85+ years"	"85+"	30	1785	1680.7
	"Mobile County, AL"	"01097"	"Female"	"F"	"35-44 years"	"35-44"	18	149050	Unreliable
	"Mobile County, AL"	"01097"	"Female"	"F"	"45-54 years"	"45-54"	28	144980	19.3
	"Mobile County, AL"	"01097"	"Female"	"F"	"55-64 years"	"55-64"	55	104374	52.7
	"Mobile County, AL"	"01097"	"Female"	"F"	"65-74 years"	"65-74"	102	72011	141.6
	"Mobile County, AL"	"01097"	"Female"	"F"	"75-84 years"	"75-84"	244	53196	458.7
	"Mobile County, AL"	"01097"	"Female"	"F"	"85+ years"	"85+"	236	18759	1258.1
